Year,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American IndiaNAlaska Native,Multiple Races,Total
2018,Rhode Island,57600,8600,48700,7200,NA,5100,127300
2018,South Carolina,315000,328100,69900,8800,NA,18700,744700
2018,South Dakota,60400,NA,8200,NA,37000,NA,113100
2018,Tennessee,576400,292500,97000,15000,3700,31900,1016600
2018,Texas,969000,640200,2322100,146300,7800,65800,4151100
2018,Utah,176300,7200,62300,10400,8100,7800,272200
2018,Vermont,60800,NA,2500,NA,NA,NA,66900
2018,Virginia,416600,276100,101800,43900,2500,32600,873500
2018,Washington,415000,52600,163500,72700,14000,52000,769700
2018,West Virginia,275800,16500,3800,NA,NA,10800,310600
2018,Wisconsin,378100,114200,62800,24000,10700,19900,609800
2018,Wyoming,45400,NA,11400,NA,2800,NA,62400
2018,Puerto Rico,11000,NA,1353800,NA,NA,NA,1367800
2017,Alabama,363900,338300,59800,12600,NA,19600,796000
2017,Alaska,35700,NA,NA,NA,23400,7100,83200
2017,Arizona,379300,62300,422800,25400,93900,24700,1008400
2017,Arkansas,273500,120500,52300,8300,3800,12700,471000
2017,California,1276000,420500,2649200,591100,24500,156500,5117700
2017,Colorado,307300,27900,191600,15200,3900,17300,563300
2017,Connecticut,135400,49400,115300,13700,NA,11000,326000
2017,Delaware,55000,37700,17300,4600,NA,NA,1.20E+05
2017,District of Columbia,14000,75200,11200,4700,NA,NA,107900
2017,Florida,1103800,673300,938600,78400,7300,76900,2878300
2017,Georgia,528400,681100,232300,39500,3100,49800,1534200
2017,Hawaii,28600,NA,25900,61800,NA,25400,143700
2017,Idaho,164100,5700,39100,3800,3500,5200,221400
2017,Illinois,681900,444600,330900,77800,1900,44600,1581700
2017,Indiana,564200,152900,96000,23300,1600,34700,872700
2017,Iowa,228300,30500,25800,12300,NA,11200,309400
2017,Kansas,209200,41500,55900,14200,3300,13300,337300
2017,Kentucky,591300,84400,38700,10400,NA,22100,748100
2017,Louisiana,325000,486600,57300,13900,5300,18500,906500
2017,Maine,129400,3700,4000,NA,3100,5200,148400
2017,Maryland,190500,229700,84000,27500,NA,22100,555500
2017,Massachusetts,319800,75400,198900,67700,NA,27300,689800
2017,Michigan,797600,390700,103000,28500,6500,55500,1381900
2017,Minnesota,304300,96500,66800,33700,13300,17000,531400
2017,Mississippi,195400,340400,14200,4600,NA,9000,568300
2017,Missouri,529300,156200,42800,26100,3500,29300,787200
2017,Montana,94800,NA,8200,NA,16400,6100,129200
2017,Nebraska,112600,22200,42900,10100,2400,7900,198000
2017,Nevada,130700,75700,134000,27600,7200,11700,386900
2017,New Hampshire,81700,3600,NA,3200,NA,NA,96800
2017,New Jersey,272800,196200,313000,56200,NA,19900,859300
2017,New Mexico,89500,7900,231100,1200,62200,7500,399400
2017,New York,985700,568100,806100,251800,11500,75100,2698400
2017,North Carolina,649900,453900,258100,37900,26800,52200,1478800
2017,North Dakota,49200,NA,4100,NA,13300,2400,71100
2017,Ohio,951300,385300,111500,35100,5300,81000,1569400
2017,Oklahoma,309200,67700,91600,8200,57800,50400,584900
2017,Oregon,358700,18500,100200,26100,8600,24700,536800
2017,Pennsylvania,863700,328100,253200,59600,3900,44400,1552900
2017,Rhode Island,58500,12200,38000,5200,NA,4300,118800
2017,South Carolina,326400,314600,73400,10600,3100,22400,750500
2017,South Dakota,54300,NA,4800,NA,37400,NA,102200
